timestamp, memory.used [MiB], memory.total [MiB], utilization.gpu [%], utilization.memory [%], power.draw [W], clocks.current.sm [MHz], temperature.gpu
2026/09/09 12:26:41.884, 20874, 24467, 0, 0, 3.23, 180, 28
2026/09/09 12:26:42.890, 20874, 24467, 0, 0, 3.27, 180, 28
2026/09/09 12:26:43.890, 20874, 24467, 0, 0, 3.21, 180, 28
2026/09/09 12:26:44.891, 20874, 24467, 0, 0, 3.14, 180, 28
2026/09/09 12:26:45.891, 20874, 24467, 0, 0, 3.17, 180, 28
2026/09/09 12:26:46.891, 20874, 24467, 0, 0, 3.25, 180, 28
2026/09/09 12:26:47.892, 20874, 24467, 0, 0, 3.19, 180, 28
2026/09/09 12:26:48.892, 20874, 24467, 0, 0, 3.19, 180, 28
2026/09/09 12:26:49.893, 20874, 24467, 0, 0, 3.18, 180, 28
2026/09/09 12:26:50.893, 20874, 24467, 0, 0, 3.17, 180, 28
2026/09/09 12:26:51.893, 20874, 24467, 0, 0, 3.19, 180, 28
2026/09/09 12:26:52.894, 20874, 24467, 0, 0, 3.21, 180, 28
2026/09/09 12:26:53.894, 20874, 24467, 0, 0, 3.16, 180, 28
2026/09/09 12:26:54.894, 20874, 24467, 0, 0, 3.04, 180, 28
2026/09/09 12:26:55.895, 20874, 24467, 0, 0, 3.06, 180, 28
2026/09/09 12:26:56.895, 20874, 24467, 0, 0, 3.11, 180, 28
2026/09/09 12:26:57.896, 20874, 24467, 0, 0, 3.05, 180, 28
2026/09/09 12:26:58.896, 20874, 24467, 0, 0, 3.12, 180, 28
2026/09/09 12:26:59.896, 20874, 24467, 0, 0, 3.18, 180, 28
2026/09/09 12:27:00.897, 20874, 24467, 0, 0, 3.25, 180, 28
2026/09/09 12:27:01.897, 20874, 24467, 0, 0, 3.10, 180, 28
2026/09/09 12:27:02.897, 20874, 24467, 0, 0, 3.15, 180, 28
2026/09/09 12:27:03.898, 20874, 24467, 0, 0, 3.35, 180, 28
2026/09/09 12:27:04.898, 20874, 24467, 0, 0, 3.16, 180, 28
2026/09/09 12:27:05.899, 20874, 24467, 0, 0, 3.15, 180, 28
2026/09/09 12:27:06.899, 20874, 24467, 0, 0, 3.15, 180, 28
2026/09/09 12:27:07.899, 20874, 24467, 0, 0, 3.11, 180, 28
2026/09/09 12:27:08.900, 20874, 24467, 0, 0, 3.09, 180, 28
2026/09/09 12:27:09.900, 20874, 24467, 0, 0, 3.09, 180, 28
2026/09/09 12:27:10.900, 20874, 24467, 0, 0, 3.15, 180, 28
2026/09/09 12:27:11.901, 20874, 24467, 0, 0, 3.17, 180, 28
2026/09/09 12:27:12.901, 20874, 24467, 0, 0, 3.14, 180, 28
2026/09/09 12:27:13.901, 20874, 24467, 0, 0, 3.19, 180, 28
2026/09/09 12:27:14.902, 20874, 24467, 0, 0, 3.28, 180, 28
2026/09/09 12:27:15.902, 20874, 24467, 0, 0, 3.34, 172, 28
2026/09/09 12:27:16.903, 20874, 24467, 0, 0, 3.29, 180, 28
2026/09/09 12:27:17.903, 20874, 24467, 0, 0, 3.20, 180, 28
2026/09/09 12:27:18.903, 20874, 24467, 0, 0, 3.32, 180, 28
2026/09/09 12:27:19.904, 20874, 24467, 0, 0, 3.38, 180, 28
2026/09/09 12:27:20.904, 20874, 24467, 0, 0, 3.35, 180, 28
2026/09/09 12:27:21.904, 20874, 24467, 0, 0, 3.36, 180, 28
2026/09/09 12:27:22.905, 20874, 24467, 0, 0, 3.31, 180, 28
2026/09/09 12:27:23.905, 20874, 24467, 0, 0, 3.33, 180, 28
2026/09/09 12:27:24.905, 20874, 24467, 0, 0, 3.44, 180, 28
2026/09/09 12:27:25.906, 20874, 24467, 0, 0, 3.48, 180, 28
2026/09/09 12:27:26.906, 20874, 24467, 0, 0, 3.29, 180, 28
2026/09/09 12:27:27.906, 20874, 24467, 0, 0, 3.22, 180, 28
2026/09/09 12:27:28.907, 20874, 24467, 0, 0, 3.17, 180, 28
2026/09/09 12:27:29.907, 20874, 24467, 0, 0, 3.13, 172, 28
2026/09/09 12:27:30.907, 20874, 24467, 0, 0, 3.28, 180, 28
2026/09/09 12:27:31.908, 20874, 24467, 0, 0, 3.23, 180, 28
2026/09/09 12:27:32.908, 20874, 24467, 0, 0, 3.27, 180, 28
2026/09/09 12:27:33.908, 20874, 24467, 0, 0, 3.23, 180, 28
2026/09/09 12:27:34.909, 20874, 24467, 0, 0, 3.10, 180, 28
2026/09/09 12:27:35.909, 20874, 24467, 0, 0, 3.12, 180, 28
2026/09/09 12:27:36.909, 20874, 24467, 0, 0, 3.17, 180, 28
2026/09/09 12:27:37.910, 20874, 24467, 0, 0, 3.19, 180, 28
2026/09/09 12:27:38.910, 20874, 24467, 0, 0, 3.22, 180, 28
2026/09/09 12:27:39.910, 20874, 24467, 0, 0, 3.24, 180, 28
2026/09/09 12:27:40.911, 20874, 24467, 0, 0, 3.45, 180, 28
2026/09/09 12:27:41.911, 20874, 24467, 0, 0, 3.29, 180, 28
2026/09/09 12:27:42.911, 20874, 24467, 0, 0, 3.36, 180, 28
2026/09/09 12:27:43.912, 20874, 24467, 0, 0, 3.26, 180, 28
2026/09/09 12:27:44.912, 20874, 24467, 0, 0, 3.14, 180, 28
2026/09/09 12:27:45.912, 20874, 24467, 0, 0, 3.11, 180, 28
2026/09/09 12:27:46.913, 20874, 24467, 0, 0, 3.20, 180, 28
2026/09/09 12:27:47.913, 20874, 24467, 0, 0, 3.23, 180, 28
2026/09/09 12:27:48.914, 20874, 24467, 0, 0, 3.22, 180, 28
2026/09/09 12:27:49.914, 20874, 24467, 0, 0, 3.17, 180, 28
2026/09/09 12:27:50.914, 20874, 24467, 0, 0, 3.09, 180, 28
2026/09/09 12:27:51.915, 20874, 24467, 0, 0, 3.11, 180, 28
2026/09/09 12:27:52.915, 20874, 24467, 0, 0, 3.14, 180, 28
2026/09/09 12:27:53.915, 20874, 24467, 0, 0, 3.26, 180, 28
2026/09/09 12:27:54.916, 20874, 24467, 0, 0, 3.20, 180, 28
2026/09/09 12:27:55.916, 20874, 24467, 0, 0, 3.21, 180, 28
2026/09/09 12:27:56.916, 20874, 24467, 0, 0, 3.22, 180, 28
2026/09/09 12:27:57.917, 20874, 24467, 0, 0, 3.11, 180, 28
2026/09/09 12:27:58.917, 20874, 24467, 0, 0, 3.05, 180, 28
2026/09/09 12:27:59.917, 20874, 24467, 0, 0, 3.05, 180, 28
2026/09/09 12:28:00.918, 20874, 24467, 0, 0, 3.13, 180, 28
2026/09/09 12:28:01.918, 20874, 24467, 0, 0, 3.11, 180, 28
2026/09/09 12:28:02.918, 20874, 24467, 0, 0, 3.19, 180, 28
2026/09/09 12:28:03.919, 20874, 24467, 0, 0, 3.17, 180, 28
2026/09/09 12:28:04.919, 20874, 24467, 0, 0, 3.19, 180, 28
2026/09/09 12:28:05.919, 20874, 24467, 0, 0, 3.09, 180, 28
2026/09/09 12:28:06.920, 20874, 24467, 0, 0, 3.11, 180, 28
2026/09/09 12:28:07.920, 20874, 24467, 0, 0, 3.04, 180, 28
2026/09/09 12:28:08.921, 20874, 24467, 0, 0, 3.07, 180, 28
2026/09/09 12:28:09.921, 20874, 24467, 0, 0, 3.12, 180, 28
2026/09/09 12:28:10.921, 20874, 24467, 0, 0, 3.11, 180, 28
2026/09/09 12:28:11.922, 20874, 24467, 0, 0, 3.18, 180, 28
2026/09/09 12:28:12.922, 20874, 24467, 0, 0, 3.12, 180, 28
2026/09/09 12:28:13.922, 20874, 24467, 0, 0, 3.09, 180, 28
2026/09/09 12:28:14.923, 20874, 24467, 0, 0, 2.98, 180, 28
2026/09/09 12:28:15.923, 20874, 24467, 0, 0, 2.94, 180, 28
2026/09/09 12:28:16.923, 20874, 24467, 0, 0, 3.01, 180, 28
2026/09/09 12:28:17.924, 20874, 24467, 0, 0, 2.98, 180, 28
2026/09/09 12:28:18.924, 20874, 24467, 0, 0, 3.00, 180, 28
2026/09/09 12:28:19.925, 20874, 24467, 0, 0, 3.15, 180, 28
